Month,diet,gym,finance
2004-01-01,83.83360326409604,26.048569811635762,47.987439643786
2004-02-01,70.84187774203035,24.799938027905178,47.810570295469766
2004-03-01,62.66750980371579,23.57364254854535,45.74871590531502
2004-04-01,65.40656401121963,22.486323268873882,47.29249204929058
2004-05-01,68.86203831337444,23.01133846422361,43.44961393763454
2004-06-01,63.33927335698407,24.94825382812053,46.06836919800398
2004-07-01,59.25949140568679,23.356033390206186,44.403273703109434
2004-08-01,59.143583739874565,26.96292325338461,43.42575957981899
2004-09-01,55.572119016033994,23.8003593583489,41.88070866712294
2004-10-01,57.178031355061414,25.276692061404674,43.18840414050546
2004-11-01,56.963060140247094,25.06264370066838,44.050098558775495
2004-12-01,52.361557313705596,26.483926615424636,45.90054426852947
2005-01-01,53.65350608902147,26.8888462571724,43.988486340137165
2005-02-01,51.006151974261854,26.70762556851327,46.83484437107242
2005-03-01,52.37881416429977,26.520347867113518,44.77533897115938
2005-04-01,52.3252512089757,25.552640078265775,43.35145104518303
2005-05-01,56.42861472901517,25.103278324607572,42.43915779955001
2005-06-01,52.452835748752435,25.98776440429222,45.04462766027056
2005-07-01,52.34588407502333,25.386992815441506,44.403273703109434
2005-08-01,51.12411475819666,26.96292325338461,43.42575957981899
2005-09-01,49.28093573119996,26.656402481350767,41.88070866712294
2005-10-01,50.580566198708176,28.436278569080258,41.26891951203855
2005-11-01,50.12749292341744,27.242004022465633,43.025677662059785
2005-12-01,49.86814982257676,26.483926615424636,42.54196785863707
2006-01-01,53.65350608902147,28.569399148245676,43.988486340137165
2006-02-01,48.17247686458064,27.661469338817316,42.931940673483055
2006-03-01,47.70213432820157,27.502582973302907,44.77533897115938
2006-04-01,46.71897429372831,27.596851284527034,46.30723179826369
2006-05-01,47.820859939843366,27.19521818499154,45.47052621380359
2006-06-01,51.46315960254956,25.98776440429222,45.04462766027056
2006-07-01,50.37056769483377,27.417952240676826,42.384943080240824
2006-08-01,51.12411475819666,28.888846342912082,43.42575957981899
2006-09-01,47.18387463625528,28.56043123001868,43.78437724290125
2006-10-01,46.182256094472685,28.436278569080258,43.18840414050546
2006-11-01,48.9882317206125,28.331684183364256,46.09894035220692
2006-12-01,46.1280385858835,28.690920500043358,45.90054426852947
2007-01-01,47.78515386053474,29.40967559378231,45.98796299196158
2007-02-01,46.28336012479316,31.476844420033498,45.85911844667508
2007-03-01,47.70213432820157,31.431523398060467,46.72209283947066
2007-04-01,47.653353779602874,32.70737930018019,47.29249204929058
2007-05-01,46.8644427410465,33.47103776614343,47.49143848997263
2007-06-01,46.51477887153518,32.22482786132235,47.0921107357374
2007-07-01,48.395251314644206,30.464391378529804,50.458265571715266
2007-08-01,44.10707939922849,29.851807887675818,53.29525039341421
2007-09-01,48.23240518372762,30.46445997868659,49.4953829702362
2007-10-01,47.28183362053156,29.48947407163879,49.90660034013965
2007-11-01,45.570448112197674,29.421364344262884,51.22104483578546
2007-12-01,42.38792734919025,28.690920500043358,48.13959520845774
2008-01-01,43.59347369732994,29.40967559378231,52.98613127334704
2008-02-01,44.39424338500569,28.61531310912136,48.78629621986711
2008-03-01,43.02545449210338,28.484818079492296,51.58897751024885
2008-04-01,43.915835836104606,28.618956887657667,51.233533053398126
2008-05-01,43.03877394585903,28.24118811518352,48.50189462805716
2008-06-01,42.55607428672367,28.066785556635597,50.163335348937665
2008-07-01,43.45696036417031,28.433431953294484,52.47659619458388
2008-08-01,43.10464577651875,29.851807887675818,47.37355590525708
2008-09-01,44.03828299383826,31.416474353020547,58.06189156123862
2008-10-01,47.28183362053156,29.48947407163879,70.0611889390422
2008-11-01,44.43118690939273,30.511044505161507,59.416412009511134
2008-12-01,47.374742331447926,29.794417442352717,55.97627349820668
2009-01-01,43.59347369732994,29.40967559378231,53.985869599259246
2009-02-01,43.449685015111946,28.61531310912136,56.59210361504584
2009-03-01,44.89612642654266,27.502582973302907,56.455862181027044
2009-04-01,45.78459480785374,29.641062490788297,56.15983430853257
2009-05-01,45.90802554224963,29.287158045375502,53.55417531847978
2009-06-01,46.51477887153518,29.106296132807287,56.305784575338194
2009-07-01,46.41993493445465,28.433431953294484,57.5224227517554
2009-08-01,48.11681389006745,28.888846342912082,56.25609763749278
2009-09-01,46.13534408878294,29.512445604352635,57.11005727334946
2009-10-01,48.38141114659043,29.48947407163879,54.70531191130692
2009-11-01,46.70970931500261,29.421364344262884,53.26988662921688
2009-12-01,48.621446077012344,29.794417442352717,52.61769708831428
2010-01-01,47.78515386053474,29.40967559378231,50.986654621522625
2010-02-01,47.227918494686904,29.569156879425407,51.71347399305913
2010-03-01,47.70213432820157,29.467053185681685,51.58897751024885
2010-04-01,47.653353779602874,29.641062490788297,55.17457405750568
2010-05-01,46.8644427410465,29.287158045375502,55.57508759464883
2010-06-01,46.51477887153518,29.106296132807287,53.23455996213793
2010-07-01,47.40759312454943,29.448911665912146,50.458265571715266
2010-08-01,48.11681389006745,29.851807887675818,50.33440314933564
2010-09-01,50.3294662786723,30.46445997868659,51.39905154601451
2010-10-01,49.4809886726493,31.595865076755846,48.94685802590619
2010-11-01,48.9882317206125,30.511044505161507,50.19662393906975
2010-12-01,48.621446077012344,30.897914384662077,51.49817161835014
2011-01-01,51.13849799109858,32.77078137592886,50.986654621522625
2011-02-01,50.06159360436811,32.43068819033754,48.78629621986711
2011-03-01,50.50814222986049,32.413758504249856,49.642223641937576
2011-04-01,55.1283896665994,31.68527369704956,48.27775230031747
2011-05-01,54.51578033142144,32.42506783595145,50.52280690422621
