Company,Country,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum
Maruti Suzuki,India,2022,133763.6667,132803,129828.3333,120672,109501.3333,100221.6667,100035,114249.3333,129569.3333,133679.3333,133920,132086.3333,1470329.333
Tata,India,2022,17601.33333,16075.66667,13769.66667,12315.33333,11578.66667,10384,8632.666667,9527.333333,10555.33333,12118,12347,12945.66667,147850.6667
Mahindra,India,2022,24300.33333,23134.33333,21474.66667,18734.66667,17775.66667,15644.33333,14379.33333,15012.33333,15376.66667,15813,16307.66667,15118.66667,213071.6667
Maruti Suzuki,India,2023,116504.6667,69890.33333,29913.66667,21658.66667,54248,87358.33333,119571,141533.6667,149114.3333,146728.3333,138510.3333,141505.6667,1216537
Tata,India,2023,10576,5957.333333,2942.666667,4857,9861,15004.66667,18265,21127.66667,22146.66667,22928.66667,24055.33333,25916.66667,183638.6667
Mahindra,India,2023,11061.66667,4592.666667,2283.333333,3901.333333,7536,10756.66667,12991.66667,15463,16984.33333,19063,18640,,123273.6667
Maruti Suzuki,India,2024,143322,142281,104995,97687.33333,96971.66667,120399.6667,100010,91763,93941.33333,113909.6667,113909.6667,113909.6667,1333100
Tata,India,2024,27953,27324.66667,23310.33333,21462.33333,23158.66667,27437.33333,27976.66667,29014,29601.66667,32792,32792,32792,335614.6667
Mahindra,India,2024,17947.66667,17210,14310.66667,14308.33333,15145.66667,17739.66667,16482,16227.66667,17432.33333,18970,18970,18970,203714
